Longitude,Latitude,Decennial Population Count
-73.965976,40.7532726,138
-73.9940537,40.7538186,697
-73.9607646,40.7603005,416
-73.9857133,40.7608908,690
-73.9699228,40.7641925,183
-73.956057,40.7649515,30
-73.958823,40.7660544,904
-73.9490075,40.7712338,1854
-73.9528536,40.7735792,849
-73.9505398,40.7729584,411
-73.9573728,40.7722979,359
-73.957366,40.7756209,385
-73.9609625,40.7769196,117
-73.962274,40.7774357,183
-73.9529855,40.7786267,650
-73.9834453,40.7829353,225
-73.9815809,40.7824602,480
-73.971024,40.7907394,460
-73.9744995,40.7921558,283
-73.9374383,40.8316799,2348
-73.9362972,40.8229779,4251
-73.9400442,40.7875057,2640
-73.9685539,40.7528353,1088
-73.9363625,40.7918147,723
-73.9380446,40.7905039,1623
-73.9496205,40.7815578,1021
-73.9578924,40.8138378,1141
-73.9581857,40.8150346,0
-73.9569144,40.8133839,588
-73.9365705,40.8515457,818
-73.9373129,40.7955314,841
-73.96635,40.7919238,1518
-73.9668212,40.7912752,1212
-73.9724099,40.7836216,1398
-73.9714834,40.7848895,1194
-73.9685923,40.8029483,436
-73.969072,40.8022934,774
-73.9655019,40.803271,1387
-73.968127,40.8035678,893
-73.9663335,40.8020009,1340
-73.9678283,40.802493,0
-73.9671711,40.8047965,1005
-73.9636362,40.8041275,651
-73.9638878,40.8034138,212
-73.9695579,40.8016115,642
-73.9683815,40.8010883,415
-73.9669404,40.8005286,715
-73.9672609,40.7998059,704
-73.9676343,40.7991368,626
-73.9821022,40.7800959,604
-73.9607138,40.7668535,1095
-73.9653107,40.8040134,1203
-73.9719692,40.7901758,398
-73.9675464,40.7883021,401
-73.9407577,40.7903749,854
-73.9412685,40.7911923,1057
-73.963369,40.7973151,635
-73.9640679,40.7963618,890
-73.9449535,40.7983913,811
-73.9354561,40.8130752,0
-73.9637737,40.7549337,985
-73.9402907,40.7955773,897
-73.9300551,40.8566716,1406
-73.9226437,40.8629941,460
-73.9216915,40.8633266,1136
-73.9453374,40.7872527,299
-73.9306208,40.859141,239
-73.9622644,40.7625943,200
-73.9332557,40.8093366,0
-73.9749993,40.8057225,0
-73.9433173,40.7799519,0
-73.9428183,40.8535647,0
-73.9497152,40.8510577,0
-73.9473456,40.8388767,0
-73.9527774,40.8406401,0
-73.954066,40.8370524,0
-73.9553043,40.834379,0
-73.9570779,40.8312046,0
-73.9526956,40.829369,0
-73.9518683,40.8287933,0
-73.9553511,40.8240248,60
-73.955659,40.824493,37
-73.9607033,40.8266208,0
-73.9697366,40.8070183,0
-73.9731853,40.8083137,0
-73.9687355,40.8042756,0
-73.9718631,40.8045736,0
-73.9767588,40.8032973,31
-73.9737142,40.8019994,0
-73.975808,40.7977047,0
-73.9787472,40.7945594,0
-73.9779042,40.7936,0
-73.9798883,40.7915227,0
-73.9807757,40.7917342,0
